draw,form,team,loss,played,points,short_name,overallStrength,defenceStrength,attackStrength,strength,win,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,red_cards,round,starts,team_a_score,team_h_score,threat,total_points,transfers_in,value,was_home,yellow_cards,player_ID,position,oppStrength
0,0.0,10,0,0,0,FUL,1055,1060,1050,3,0,0,0,-4,0,0.1,0.0,0.0,0.0,4,0,1.2,11.8,90,13,0,0,1,37,1,4,0,0.0,-3,456,44,True,0,271,DEF,5
0,0.0,20,0,0,0,WOL,1100,1100,1105,3,0,0,0,-7,0,0.1,0.0,0.0,0.0,2,0,0.0,0.0,27,11,0,0,1,38,1,0,2,0.0,-3,385,45,False,0,572,DEF,4
0,0.0,10,0,0,0,FUL,1055,1060,1050,3,0,0,0,1,0,1.8,0.01,0.01,0.0,3,0,0.3,0.0,63,4,0,0,1,2,1,3,0,2.0,-2,15386,45,True,0,281,DEF,3
0,0.0,11,0,0,0,LIV,1370,1390,1350,4,0,0,0,-6,0,0.1,0.0,0.0,0.0,1,0,0.0,0.0,27,15,0,0,1,3,1,2,1,0.0,-2,41032,60,False,0,313,DEF,3
0,0.0,16,0,0,0,NFO,1100,1080,1125,3,0,0,0,-2,0,0.2,0.0,0.0,0.0,3,0,0.0,0.2,66,14,0,0,1,3,1,2,3,0.0,-2,179,45,False,0,469,DEF,3
0,0.0,10,0,0,0,FUL,1175,1170,1180,3,0,0,0,0,0,0.3,0.0,0.0,0.0,2,0,0.7,7.0,82,1,0,0,1,3,1,2,2,0.0,-2,682,45,False,0,610,DEF,5
0,0.0,20,0,0,0,WOL,1100,1115,1085,3,0,0,0,-5,0,0.1,0.0,0.0,0.0,2,0,0.0,0.0,25,11,1,0,0,5,0,3,1,0.0,-2,641,45,True,0,548,DEF,4
0,0.0,7,0,0,0,CHE,1125,1170,1080,3,0,0,0,-2,0,12.3,0.08,0.08,0.0,1,0,2.4,8.0,57,2,0,0,1,6,1,1,0,4.0,-2,286224,43,True,0,203,DEF,4
0,-4.0,18,0,0,0,TOT,1230,1310,1150,4,0,0,0,5,0,1.7,0.07,0.07,0.0,2,0,1.1,9.0,90,1,1,0,0,6,1,2,2,0.0,-2,149608,48,False,1,511,DEF,5
0,0.0,17,0,0,0,SHU,1030,1020,1045,2,0,0,0,13,0,2.0,0.01,0.28,0.27,8,0,1.8,7.0,90,15,0,0,0,6,1,8,0,9.0,-2,947,40,True,0,693,DEF,3
0,0.0,5,0,0,0,BHA,1210,1240,1180,3,0,0,0,11,0,3.9,0.16,0.16,0.0,6,0,2.9,23.4,90,2,0,0,0,7,1,1,6,2.0,-2,13748,50,False,1,129,DEF,4
0,0.0,5,0,0,0,BHA,1210,1240,1180,3,0,0,0,-8,0,1.1,0.02,0.51,0.49,3,0,2.0,2.0,45,2,1,0,0,7,1,1,6,17.0,-2,112873,53,False,0,131,DEF,4
0,0.0,16,0,0,0,NFO,1065,1080,1050,3,0,0,0,-5,0,1.9,0.01,0.01,0.0,1,0,0.7,5.0,55,4,0,0,1,7,1,1,1,0.0,-2,145,45,True,0,457,DEF,3
0,0.0,6,0,0,0,BUR,1050,1050,1050,2,0,0,0,4,0,2.2,0.01,0.01,0.0,3,0,0.7,4.8,77,4,0,0,1,9,1,0,3,0.0,-2,2058,44,False,0,176,DEF,3
0,0.0,19,0,0,0,WHU,1145,1150,1140,3,0,0,0,-2,0,0.5,0.0,0.03,0.03,3,0,1.4,7.8,90,4,1,0,0,11,1,2,3,6.0,-2,174,45,False,1,676,DEF,3
