,round,form,strength,oppStrength,overallStrength,defenceStrength,attackStrength,value,player_ID,valueForMoney,total_points
38,1,0.0,3,3,1125,1120,1130,40,384,0.0,0
39,1,0.0,3,3,1070,1060,1080,45,385,0.0,0
40,1,0.0,3,4,1105,1160,1050,40,408,0.0,0
41,1,0.0,3,4,1105,1160,1050,40,409,0.0,0
42,1,0.0,3,4,1105,1160,1050,40,411,0.0,0
43,1,0.0,3,5,1100,1080,1125,40,448,0.0,0
44,1,0.0,3,5,1100,1080,1125,45,449,0.0,0
45,1,0.0,2,3,1030,1020,1045,40,472,0.0,0
46,1,0.0,2,3,1030,1020,1045,40,479,0.0,0
47,1,0.0,4,3,1230,1310,1150,40,491,0.0,0
48,1,0.0,4,3,1230,1310,1150,40,498,0.0,0
49,1,0.0,4,3,1230,1310,1150,50,502,0.0,0
50,1,0.0,4,3,1230,1310,1150,40,521,0.0,0
51,1,0.0,3,3,1145,1150,1140,45,533,0.0,0
52,1,0.0,3,3,1100,1100,1105,40,546,0.0,0
53,1,0.0,3,3,1100,1100,1105,40,564,0.0,0
54,1,0.0,3,3,1100,1100,1105,40,571,0.0,0
55,1,0.0,3,3,1095,1065,1125,40,579,0.0,0
56,1,0.0,3,4,1105,1160,1050,40,580,0.0,0
57,1,0.0,3,3,1100,1145,1055,45,607,0.0,0
58,1,0.0,3,5,1100,1080,1125,40,636,0.0,0
59,1,0.0,5,3,1350,1330,1370,40,646,0.0,0
60,1,0.0,3,3,1145,1150,1140,40,647,0.0,0
61,1,0.0,3,4,1125,1170,1080,40,659,0.0,0
62,2,0.0,5,3,1365,1360,1370,40,18,0.0,0
63,2,0.0,4,3,1160,1180,1140,40,53,0.0,0
64,2,0.0,4,3,1160,1180,1140,40,57,0.0,0
65,2,0.0,3,4,1100,1075,1130,40,80,0.0,0
66,2,0.0,3,4,1100,1075,1130,40,88,0.0,0
67,2,0.0,3,3,1100,1150,1055,40,91,0.0,0
68,2,0.0,3,3,1100,1150,1055,40,97,0.0,0
69,2,0.0,5,3,1365,1360,1370,50,113,0.0,0
70,2,0.0,3,3,1100,1150,1055,40,116,0.0,0
71,2,0.0,3,3,1210,1240,1180,40,141,0.0,0
72,2,0.0,3,3,1210,1240,1180,40,147,0.0,0
73,2,0.0,3,3,1210,1240,1180,45,152,0.0,0
74,2,0.0,3,3,1190,1230,1150,50,187,0.0,0
75,2,-0.5,3,3,1190,1230,1150,40,192,0.0,0
76,2,0.0,3,3,1190,1230,1150,40,215,0.0,0
77,2,0.0,3,5,1070,1060,1080,45,227,0.0,0
78,2,0.0,3,5,1070,1060,1080,40,233,0.0,0
79,2,0.0,3,5,1070,1060,1080,40,243,0.0,0
80,2,0.0,3,4,1100,1080,1125,45,263,0.0,0
81,2,0.0,3,4,1100,1080,1125,40,266,0.0,0
82,2,-0.5,3,3,1055,1060,1050,40,284,0.0,0
83,2,0.0,4,3,1240,1270,1210,40,289,0.0,0
84,2,0.0,4,3,1240,1270,1210,40,301,0.0,0
85,2,0.0,5,3,1355,1360,1350,40,347,0.0,0
86,2,0.0,5,3,1355,1360,1350,40,361,0.0,0
